"","labsampnum","idp","X","Y","hzn_old","hzn_nom","hzn_disc","hzn","hzn_prime","top","bot","cec","oc","clay","MUSYM","MUKEY"
"1","00P00432",24761,-100.7582474,38.3000259,"A","A","","A","",0,13,25.2000008,NA,45.4000015,1375,2509176
"2","00P00433",24761,-100.7582474,38.3000259,"Bt1","Bt1","","B","",13,30,27.2999992,NA,65.6999969,1375,2509176
"3","00P00434",24761,-100.7582474,38.3000259,"Bt2","Bt2","","B","",30,69,29.6000004,NA,60.7000008,1375,2509176
"4","00P00435",24761,-100.7582474,38.3000259,"Btg1","Btg1","","B","",69,94,27,NA,52.4000015,1375,2509176
"5","00P00436",24761,-100.7582474,38.3000259,"Btg2","Btg2","","B","",94,114,29.7000008,NA,59.4000015,1375,2509176
"6","00P00437",24761,-100.7582474,38.3000259,"Btg3","Btg3","","B","",114,137,29.2000008,NA,58.0999985,1375,2509176
"7","00P00438",24761,-100.7582474,38.3000259,"C1","C1","","C","",137,183,29,0.150000006,55.7000008,1375,2509176
"8","00P00439",24761,-100.7582474,38.3000259,"C2","C2","","C","",183,203,28.8999996,0.150000006,58.9000015,1375,2509176
"9","00P03279",25204,-99.608223,39.0666656,"Ap1","Ap1","","A","",0,18,17.1000004,NA,20.1000004,2754,1150874
"10","00P03280",25204,-99.608223,39.0666656,"Ap2","Ap2","","A","",18,29,16,NA,26.2000008,2754,1150874
"11","00P03281",25204,-99.608223,39.0666656,"Bk1","Bk1","","B","",29,62,16,NA,25.7000008,2754,1150874
"12","00P03282",25204,-99.608223,39.0666656,"Bk2","Bk2","","B","",62,82,13.6999998,NA,21.3999996,2754,1150874
"13","00P03283",25204,-99.608223,39.0666656,"Bk3","Bk3","","B","",82,100,14,NA,22.2000008,2754,1150874
"14","00P03285",25204,-99.608223,39.0666656,"C","C","","C","",158,200,4.5,0.150000006,5.5999999,2754,1150874
"15","00P03286",25205,-99.626915,38.9129448,"Ap1","Ap1","","A","",0,10,19,NA,27,2519,1150829
"16","00P03287",25205,-99.626915,38.9129448,"Ap2","Ap2","","A","",10,18,20.7000008,NA,31,2519,1150829
"17","00P03288",25205,-99.626915,38.9129448,"Bk","Bk","","B","",18,48,20.2000008,NA,36.2999992,2519,1150829
"18","00P03290",25205,-99.626915,38.9129448,"Cr1","Cr1","","C","",82,129,7.9000001,0.150000006,43.7999992,2519,1150829
"19","00P03291",25205,-99.626915,38.9129448,"Cr2","Cr2","","C","",129,150,6.69999981,0.150000006,43.7999992,2519,1150829
"20","00P03292",25205,-99.626915,38.9129448,"Cr3","Cr3","","C","",150,160,9.30000019,0.150000006,47,2519,1150829
"21","00P08067",26058,-98.2211914,38.8866959,"A1","A1","","A","",0,23,27,NA,34,2613,2605951
"22","00P08068",26058,-98.2211914,38.8866959,"A2","A2","","A","",23,43,31.7999992,NA,46.0999985,2613,2605951
"23","00P08069",26058,-98.2211914,38.8866959,"Bw","Bw","","B","",43,60,29.7999992,NA,46.9000015,2613,2605951
"24","00P08070",26058,-98.2211914,38.8866959,"Bk","Bk","","B","",60,79,20.3999996,NA,47.5999985,2613,2605951
"25","00P08071",26058,-98.2211914,38.8866959,"C1","C1","","C","",79,106,16.7999992,0.150000006,40.9000015,2613,2605951
"26","00P08072",26058,-98.2211914,38.8866959,"C2","C2","","C","",106,132,11.1999998,0.150000006,29.5,2613,2605951
"27","00P08073",26058,-98.2211914,38.8866959,"C3","C3","","C","",132,160,18.5,0.150000006,25.2999992,2613,2605951
"28","02N00600",27263,-97.4447784,41.193779,"","Ap1","","A","",0,10,18,NA,22.8999996,3864,2605828
"29","02N00601",27263,-97.4447784,41.193779,"","Ap2","","A","",10,21,19.6000004,NA,26.3999996,3864,2605828
"30","02N00603",27263,-97.4447784,41.193779,"","Bt1","","B","",30,44,24.1000004,NA,36.2000008,3864,2605828
"31","02N00604",27263,-97.4447784,41.193779,"","Bt2","","B","",44,66,26,NA,38.2000008,3864,2605828
"32","02N00605",27263,-97.4447784,41.193779,"","Bt3","","B","",66,101,27.2000008,NA,36.5,3864,2605828
"33","02N00606",27263,-97.4447784,41.193779,"","Bt4","","B","",101,139,24.5,NA,29.2999992,3864,2605828
"34","02N00608",27263,-97.4447784,41.193779,"","C1","","C","",158,200,24.7000008,0.150000006,26.8999996,3864,2605828
"35","40A01631",200,-98.3900909,40.2627907,"A11","A1","","A","",0,13,18.2000008,2.53999996,23.1000004,3864,2605831
"36","40A01632",200,-98.3900909,40.2627907,"A12","A2","","A","",13,25,22.3999996,1.79999995,33.2000008,3864,2605831
"37","40A01633",200,-98.3900909,40.2627907,"B1","Bw","","B","",25,41,27.2000008,1.24000001,42.5999985,3864,2605831
"38","40A01634",200,-98.3900909,40.2627907,"B2 T","Bt","","B","",41,58,28.2999992,0.75,44.7000008,3864,2605831
"39","40A01635",200,-98.3900909,40.2627907,"B3","B","","B","",58,79,25.7000008,0.379999995,36.7999992,3864,2605831
"40","40A01636",200,-98.3900909,40.2627907,"C 1CA","Bk","","B","",79,100,23,0.230000004,23.2000008,3864,2605831
"41","40A01637",200,-98.3900909,40.2627907,"C 2","C1","","C","",100,130,22.8999996,0.180000007,25,3864,2605831
"42","40A01638",200,-98.3900909,40.2627907,"C 3","C2","","C","",130,150,23,0.159999996,25,3864,2605831
"43","40A01654",203,-96.8069458,37.7799988,"A1","A","","A","",0,13,19.2000008,3.26999998,22.7000008,4600,2606010
"44","40A01655",203,-96.8069458,37.7799988,"B21T","Bt1","","B","",13,36,34.7999992,1.42999995,49.5999985,4600,2606010
"45","40A01656",203,-96.8069458,37.7799988,"B22T","Bt2","","B","",36,46,34.0999985,1.03999996,48.4000015,4600,2606010
"46","40A01657",203,-96.8069458,37.7799988,"B3","B","","B","",46,71,31,0.689999998,47.0999985,4600,2606010
"47","40A01658",203,-96.8069458,37.7799988,"C 1CA","Bk","","B","",71,89,34.5,0.529999971,50.7999992,4600,2606010
"48","40A01659",203,-96.8069458,37.7799988,"C 2","C","","C","",89,110,34.5999985,0.430000007,53.7000008,4600,2606010
"49","40A14192",1742,-96.6325226,37.9614372,"A1","A","","A","",0,13,18.2999992,2.8499999,23.3999996,4600,2606010
"50","40A14193",1742,-96.6325226,37.9614372,"B21T","Bt1","","B","",13,33,31.8999996,1.89999998,48.7999992,4600,2606010
"51","40A14194",1742,-96.6325226,37.9614372,"B22T","Bt2","","B","",33,56,32.5,1.16999996,51.9000015,4600,2606010
"52","40A14195",1742,-96.6325226,37.9614372,"B3","B","","B","",56,71,32.4000015,0.620000005,53.0999985,4600,2606010
"53","40A14196",1742,-96.6325226,37.9614372,"C 1","C1","","C","",71,84,27.7000008,0.400000006,48.0999985,4600,2606010
"54","40A14197",1742,-96.6325226,37.9614372,"C 2","C2","","C","",84,99,27.6000004,0.439999998,51.9000015,4600,2606010
"55","40A14198",1742,-96.6325226,37.9614372,"C 3","C3","","C","",99,107,29.6000004,0.560000002,56.7000008,4600,2606010
"56","40A14200",1743,-97.7338867,38.9075012,"A11","A1","","A","",0,5,22.5,2.71000004,23.3999996,3492,1382197
"57","40A14201",1743,-97.7338867,38.9075012,"A12","A2","","A","",5,15,23,1.85000002,28.8999996,3492,1382197
"58","40A14202",1743,-97.7338867,38.9075012,"AB","Bw","","B","",15,25,27.8999996,1.41999996,38.2000008,3492,1382197
"59","40A14203",1743,-97.7338867,38.9075012,"B21T","Bt1","","B","",25,43,35.2999992,0.920000017,49.4000015,3492,1382197
"60","40A14204",1743,-97.7338867,38.9075012,"B22T","Bt2","","B","",43,61,30.7999992,0.560000002,42,3492,1382197
"61","40A14205",1743,-97.7338867,38.9075012,"B3 CA","Bk1","","B","",61,81,28.7999992,0.419999987,35.7000008,3492,1382197
"62","40A14206",1743,-97.7338867,38.9075012,"C 1CA","Bk2","","B","",81,104,23.3999996,0.25,28.2999992,3492,1382197
"63","40A14207",1743,-97.7338867,38.9075012,"C 2","C1","","C","",104,130,17.8999996,0.129999995,24.7999992,3492,1382197
"64","40A14208",1743,-97.7338867,38.9075012,"C 3","C2","","C","",130,152,18.3999996,0.100000001,29.7999992,3492,1382197
"65","40A14210",1744,-97.8697891,38.812809,"A11","A11","","A","",0,5,22.5,3.1400001,22.8999996,3832,2668981
"66","40A14211",1744,-97.8697891,38.812809,"A12","A12","","A","",5,13,22.1000004,2.3599999,23.5,3832,2668981
"67","40A14212",1744,-97.8697891,38.812809,"A3","A2","","A","",13,23,22.2000008,1.66999996,28.3999996,3832,2668981
"68","40A14213",1744,-97.8697891,38.812809,"B1","Bw","","B","",23,28,25.7000008,1.26999998,35,3832,2668981
"69","40A14214",1744,-97.8697891,38.812809,"B21T","Bt1","","B","",28,53,32.2999992,0.74000001,46.5999985,3832,2668981
"70","40A14215",1744,-97.8697891,38.812809,"B22T","Bt2","","B","",53,66,30.2999992,0.50999999,40.2999992,3832,2668981
"71","40A14216",1744,-97.8697891,38.812809,"B3 CA","Bk1","","B","",66,76,29.2000008,0.360000014,36.0999985,3832,2668981
"72","40A14217",1744,-97.8697891,38.812809,"C 1CA","Bk2","","B","",76,94,24.5,0.209999993,29.8999996,3832,2668981
"73","40A14218",1744,-97.8697891,38.812809,"C 2CS","By","","B","",94,109,19.7999992,0.129999995,27.3999996,3832,2668981
"74","40A14219",1744,-97.8697891,38.812809,"C 3","C","","C","",109,152,17.6000004,0.140000001,28,3832,2668981
"75","40A14238",1747,-97.1305542,37.9269447,"AP","Ap","","A","",0,15,30.7999992,1.64999998,38.2999992,3858,1382874
"76","40A14239",1747,-97.1305542,37.9269447,"A12","A","","A","",15,38,37.0999985,0.74000001,45.2999992,3858,1382874
"77","40A14240",1747,-97.1305542,37.9269447,"AC1","Bw1","","B","",38,61,34,0.50999999,42.7000008,3858,1382874
"78","40A14241",1747,-97.1305542,37.9269447,"AC2","Bw2","","B","",61,84,32.7999992,0.319999993,40.0999985,3858,1382874
"79","40A14242",1747,-97.1305542,37.9269447,"C 1","Bw3","","B","",84,112,27.7000008,0.100000001,35.7000008,3858,1382874
"80","40A14243",1747,-97.1305542,37.9269447,"C 2CS","By1","","B","",112,127,26.7000008,0.0599999987,35.9000015,3858,1382874
"81","40A14244",1747,-97.1305542,37.9269447,"C 3CS","By2","","B","",127,140,24.2000008,0.0500000007,35.0999985,3858,1382874
"82","40A14245",1747,-97.1305542,37.9269447,"C 4CS","By3","","B","",140,163,20.3999996,0.0500000007,31.3999996,3858,1382874
"83","40A14246",1747,-97.1305542,37.9269447,"C 5CS","By4","","B","",163,183,18.6000004,0.0599999987,29,3858,1382874
"84","40A14247",1747,-97.1305542,37.9269447,"C 6CS","By5","","B","",183,234,16.6000004,0.0900000036,23.6000004,3858,1382874
"85","40A14248",1747,-97.1305542,37.9269447,"C 7","C","","C","",234,264,18,0.0299999993,23.3999996,3858,1382874
"86","40A14276",1751,-101.055275,39.0050011,"AP1","Ap1","","A","",0,10,24.7000008,2.04999995,30.2000008,1619,1150521
"87","40A14277",1751,-101.055275,39.0050011,"AP2","Ap2","","A","",10,15,23.1000004,2.11999989,26.6000004,1619,1150521
"88","40A14278",1751,-101.055275,39.0050011,"A1","A1","","A","",15,25,24.7000008,1.36000001,28.7999992,1619,1150521
"89","40A14279",1751,-101.055275,39.0050011,"A3","A2","","A","",25,41,25.5,0.910000026,30.7999992,1619,1150521
"90","40A14280",1751,-101.055275,39.0050011,"B21T","Bt1","","B","",41,56,25.5,0.74000001,30.1000004,1619,1150521
"91","40A14281",1751,-101.055275,39.0050011,"B22T","Bt2","","B","",56,91,23.7000008,0.50999999,33.4000015,1619,1150521
"92","40A14282",1751,-101.055275,39.0050011,"B3 CA","Bk1","","B","",91,117,23.6000004,0.360000014,34.4000015,1619,1150521
"93","40A14283",1751,-101.055275,39.0050011,"C 1CA","Bk2","","B","",117,145,21.6000004,0.219999999,23.6000004,1619,1150521
"94","40A14284",1751,-101.055275,39.0050011,"C 2","C","","C","",145,178,21.2000008,0.150000006,18.3999996,1619,1150521
"95","40A14301",1754,-97.8581238,38.8122559,"A11","A1","","A","",0,10,14.3999996,1.80999994,18.5,3396,2668815
"96","40A14302",1754,-97.8581238,38.8122559,"A12","A2","","A","",10,23,14.1999998,1.23000002,18.2999992,3396,2668815
"97","40A14303",1754,-97.8581238,38.8122559,"AB","Bw","","B","",23,33,14.6000004,1.09000003,20.3999996,3396,2668815
"98","40A14304",1754,-97.8581238,38.8122559,"B2","B1","","B","",33,48,13.1000004,0.699999988,21,3396,2668815
"99","40A14305",1754,-97.8581238,38.8122559,"B3","B2","","B","",48,69,9.39999962,0.330000013,15.1999998,3396,2668815
"100","40A14306",1754,-97.8581238,38.8122559,"C 1","C","","C","",69,94,7.0999999,0.180000007,14.6999998,3396,2668815
"101","40A14308",1755,-97.6736145,38.7700005,"AP","Ap","","A","",0,10,16.8999996,1.01999998,22.2000008,3800,2668976
"102","40A14309",1755,-97.6736145,38.7700005,"A12","A","","A","",10,18,20.8999996,1.07000005,27,3800,2668976
"103","40A14310",1755,-97.6736145,38.7700005,"B21T","Bt1","","B","",18,30,36,0.939999998,49.9000015,3800,2668976
"104","40A14311",1755,-97.6736145,38.7700005,"B22T","Bt2","","B","",30,61,35,0.660000026,49.5999985,3800,2668976
"105","40A14312",1755,-97.6736145,38.7700005,"B23T","Bt3","","B","",61,74,32.2000008,0.449999988,46.7999992,3800,2668976
"106","40A14313",1755,-97.6736145,38.7700005,"B3 CA","Bk1","","B","",74,89,30.6000004,0.25999999,43.2999992,3800,2668976
"107","40A14314",1755,-97.6736145,38.7700005,"C 1CA","Bk2","","B","",89,109,29,0.0799999982,32.2999992,3800,2668976
"108","40A14315",1755,-97.6736145,38.7700005,"C 2","C","","C","",109,124,29.7999992,0.100000001,33.0999985,3800,2668976
"109","40A14316",1755,-97.6736145,38.7700005,"A11B","Ab1","","A","",124,132,29,0.129999995,34.0999985,3800,2668976
"110","40A14317",1755,-97.6736145,38.7700005,"A12B","Ab2","","A","",132,157,26.6000004,0.219999999,34.2999992,3800,2668976
"111","40A14318",1756,-97.6297226,38.7702789,"AP","Ap","","A","",0,15,17.5,1.15999997,23.3999996,3800,2668976
"112","40A14319",1756,-97.6297226,38.7702789,"A12","A","","A","",15,25,23.8999996,1.11000001,33.2000008,3800,2668976
"113","40A14320",1756,-97.6297226,38.7702789,"B21T","Bt1","","B","",25,36,31.8999996,0.839999974,46.7000008,3800,2668976
"114","40A14321",1756,-97.6297226,38.7702789,"B22T","Bt2","","B","",36,48,33.0999985,0.610000014,45.5999985,3800,2668976
"115","40A14322",1756,-97.6297226,38.7702789,"B23T","Bt3","","B","",48,71,33.0999985,0.49000001,48.4000015,3800,2668976
"116","40A14323",1756,-97.6297226,38.7702789,"B3 CA","Bk1","","B","",71,102,31.6000004,0.270000011,46.2000008,3800,2668976
"117","40A14324",1756,-97.6297226,38.7702789,"C 1CA","Bk2","","B","",102,114,30.7000008,0.170000002,42,3800,2668976
"118","40A14325",1756,-97.6297226,38.7702789,"C 2","C","","C","",114,152,28.3999996,0.0900000036,33.9000015,3800,2668976
"119","40A14326",1757,-97.7638855,39.7230568,"AP","Ap","","A","",0,15,11.6000004,0.779999971,12.1000004,3261,2605653
"120","40A14327",1757,-97.7638855,39.7230568,"A12","A","","A","",15,25,17.5,0.939999998,19.7000008,3261,2605653
"121","40A14328",1757,-97.7638855,39.7230568,"B2","B1","","B","",25,43,17.3999996,0.720000029,20.1000004,3261,2605653
"122","40A14329",1757,-97.7638855,39.7230568,"B3","B2","","B","",43,74,15.3000002,0.449999988,18.6000004,3261,2605653
"123","40A14330",1757,-97.7638855,39.7230568,"C 1","C1","","C","",74,102,14.5,0.289999992,18.1000004,3261,2605653
"124","40A14331",1757,-97.7638855,39.7230568,"C 2","C2","","C","",102,142,14.6000004,0.239999995,18.3999996,3261,2605653
"125","40A14332",1757,-97.7638855,39.7230568,"C 3","C3","","C","",142,160,13.1999998,0.219999999,16.1000004,3261,2605653
"126","40A14446",1773,-101.163333,38.968056,"AP","Ap","","A","",0,13,23.2000008,1.35000002,25.1000004,1856,2668837
"127","40A14447",1773,-101.163333,38.968056,"A12","A","","A","",13,18,24,1.02999997,27.8999996,1856,2668837
"128","40A14448",1773,-101.163333,38.968056,"B2","B1","","B","",18,36,24.7000008,0.790000021,29.7999992,1856,2668837
"129","40A14449",1773,-101.163333,38.968056,"B2 CA","Bk","","B","",36,63,23.1000004,0.519999981,25.8999996,1856,2668837
"130","40A14450",1773,-101.163333,38.968056,"B3","B2","","B","",63,91,22,0.25,21.8999996,1856,2668837
"131","40A14451",1773,-101.163333,38.968056,"C 1","C1","","C","",91,122,20.8999996,0.180000007,17.1000004,1856,2668837
"132","40A14452",1773,-101.163333,38.968056,"C 2","C2","","C","",122,160,2.0999999,0.180000007,18.8999996,1856,2668837
"133","40A14453",1774,-101.259639,38.926667,"AP","Ap","","A","",0,8,23.2000008,1.23000002,25.5,1856,2668837
"134","40A14454",1774,-101.259639,38.926667,"A12","A","","A","",8,13,25.1000004,1.14999998,27.7999992,1856,2668837
"135","40A14455",1774,-101.259639,38.926667,"B21","B11","","B","",13,23,24.8999996,0.910000026,30.2999992,1856,2668837
"136","40A14456",1774,-101.259639,38.926667,"B22","B12","","B","",23,33,23.3999996,0.709999979,36.9000015,1856,2668837
"137","40A14457",1774,-101.259639,38.926667,"B2 CA","Bk","","B","",33,63,21.8999996,0.389999986,28.3999996,1856,2668837
"138","40A14458",1774,-101.259639,38.926667,"B3","B2","","B","",63,97,22.1000004,0.25999999,22.8999996,1856,2668837
"139","40A14459",1774,-101.259639,38.926667,"C 1","C1","","C","",97,127,20.7000008,0.180000007,20.7999992,1856,2668837
"140","40A14460",1774,-101.259639,38.926667,"C 2","C2","","C","",127,160,21.6000004,0.170000002,21.2999992,1856,2668837
"141","40A14554",1786,-99.2147217,39.0694427,"A11","A11","","A","",0,5,23.7000008,4.53999996,21.2000008,2225,1150155
"142","40A14555",1786,-99.2147217,39.0694427,"A12","A12","","A","",5,25,14,1.65999997,19,2225,1150155
"143","40A14556",1786,-99.2147217,39.0694427,"A3","A2","","A","",25,38,12.6000004,1.13999999,22.2000008,2225,1150155
"144","40A14557",1786,-99.2147217,39.0694427,"B2","B","","B","",38,71,11.5,0.519999981,20.7000008,2225,1150155
"145","40A14558",1786,-99.2147217,39.0694427,"C 1CA","Bk","","B","",71,104,10.8000002,0.189999998,20.5,2225,1150155
"146","40A14559",1786,-99.2147217,39.0694427,"C 2","C","","C","",104,130,7.30000019,0.0399999991,18.2999992,2225,1150155
"147","40A14583",1790,-99.1258316,39.0152779,"A11","A1","","A","",0,2,34.5,2.02999997,59,2537,1150104
"148","40A14584",1790,-99.1258316,39.0152779,"A12","A2","","A","",2,15,35.7999992,0.949999988,65.4000015,2537,1150104
"149","40A14585",1790,-99.1258316,39.0152779,"B1","B1","","B","",15,25,36.0999985,0.75999999,66.0999985,2537,1150104
"150","40A14586",1790,-99.1258316,39.0152779,"B2","B2","","B","",25,43,35.0999985,0.620000005,65.8000031,2537,1150104
